Source IP,Destination IP,Protocol,Switch,P1,P2,P3,P4,P1 Rx Packet,P1 Tx Packet,P1 Rx Bytes,P1 Tx Bytes,P2 Rx Packet,P2 Tx Packet,P2 Rx Bytes,P2 Tx Bytes,P3 Rx Packet,P3 Tx Packet,P3 Rx Bytes,P3 Tx Bytes,P4 Rx Packet,P4 Tx Packet,P4 Rx Bytes,P4 Tx Bytes,Label
2, 9, 0, 5, 0, 1, 2, 3, 0, 0, 0, 0, 4923, 6093, 364672, 434048, 4922, 6117, 364597, 436145, 6333, 5650, 455350, 415847, 0
2, 9, 0, 4, 0, 1, 2, 3, 0, 0, 0, 0, 621, 9927, 44130, 745145, 621, 9935, 44130, 745473, 6709, 4923, 474397, 364694, 0
2, 9, 0, 7, 0, 1, 2, 3, 0, 0, 0, 0, 621, 9526, 44130, 723492, 621, 9538, 44130, 724548, 6117, 4922, 436145, 364597, 0
2, 9, 0, 6, 0, 1, 2, 3, 0, 0, 0, 0, 621, 9523, 44130, 722294, 621, 9532, 44130, 722840, 6093, 4923, 434048, 364672, 0
2, 9, 0, 1, 0, 1, 2, 3, 0, 0, 0, 0, 257390, 159584, 10997147126, 10556519, 5650, 6333, 415847, 455350, 154285, 260616, 10163530, 10997416160, 0
2, 9, 0, 3, 0, 1, 2, 3, 0, 0, 0, 0, 417872, 162805, 11002391356, 10826254, 633, 9595, 45586, 728534, 159631, 256666, 10559544, 10997096896, 0
2, 9, 0, 2, 0, 1, 2, 3, 0, 0, 0, 0, 256666, 159631, 10997096896, 10559544, 4923, 6709, 364694, 474397, 159584, 257390, 10556519, 10997147126, 0
2, 9, 0, 5, 0, 1, 2, 3, 0, 0, 0, 0, 4923, 6093, 364672, 434048, 4922, 6117, 364597, 436145, 6333, 5650, 455350, 415847, 0
2, 9, 0, 4, 0, 1, 2, 3, 0, 0, 0, 0, 621, 9927, 44130, 745145, 621, 9935, 44130, 745473, 6709, 4923, 474397, 364694, 0
2, 9, 0, 7, 0, 1, 2, 3, 0, 0, 0, 0, 621, 9526, 44130, 723492, 621, 9538, 44130, 724548, 6117, 4922, 436145, 364597, 0
2, 9, 0, 6, 0, 1, 2, 3, 0, 0, 0, 0, 621, 9523, 44130, 722294, 621, 9532, 44130, 722840, 6093, 4923, 434048, 364672, 0
2, 9, 0, 1, 0, 1, 2, 3, 0, 0, 0, 0, 257392, 159586, 10997147322, 10556715, 5650, 6333, 415847, 455350, 154287, 260618, 10163726, 10997416356, 0
2, 9, 0, 3, 0, 1, 2, 3, 0, 0, 0, 0, 417872, 162805, 11002391356, 10826254, 635, 9597, 45782, 728730, 159633, 256668, 10559740, 10997097092, 0
2, 9, 0, 2, 0, 1, 2, 3, 0, 0, 0, 0, 256668, 159633, 10997097092, 10559740, 4923, 6709, 364694, 474397, 159586, 257392, 10556715, 10997147322, 0
2, 9, 0, 5, 0, 1, 2, 3, 0, 0, 0, 0, 4923, 6093, 364672, 434048, 4922, 6117, 364597, 436145, 6333, 5650, 455350, 415847, 0
2, 9, 0, 4, 0, 1, 2, 3, 0, 0, 0, 0, 621, 9927, 44130, 745145, 621, 9935, 44130, 745473, 6709, 4923, 474397, 364694, 0
2, 9, 0, 7, 0, 1, 2, 3, 0, 0, 0, 0, 621, 9526, 44130, 723492, 621, 9538, 44130, 724548, 6117, 4922, 436145, 364597, 0
2, 9, 0, 6, 0, 1, 2, 3, 0, 0, 0, 0, 621, 9523, 44130, 722294, 621, 9532, 44130, 722840, 6093, 4923, 434048, 364672, 0
2, 9, 0, 1, 0, 1, 2, 3, 0, 0, 0, 0, 257395, 159589, 10997147593, 10556986, 5651, 6334, 415922, 455425, 154289, 260622, 10163922, 10997416710, 0
2, 9, 0, 3, 0, 1, 2, 3, 0, 0, 0, 0, 417872, 162807, 11002391356, 10826412, 637, 9601, 45978, 729084, 159636, 256671, 10560011, 10997097363, 0
2, 9, 0, 2, 0, 1, 2, 3, 0, 0, 0, 0, 256671, 159636, 10997097363, 10560011, 4924, 6710, 364769, 474472, 159589, 257395, 10556986, 10997147593, 0
2, 9, 0, 5, 0, 1, 2, 3, 0, 0, 0, 0, 4924, 6094, 364747, 434123, 4923, 6118, 364672, 436220, 6334, 5651, 455425, 415922, 0
2, 9, 0, 4, 0, 1, 2, 3, 0, 0, 0, 0, 621, 9929, 44130, 745303, 621, 9937, 44130, 745631, 6710, 4924, 474472, 364769, 0
2, 9, 0, 7, 0, 1, 2, 3, 0, 0, 0, 0, 621, 9528, 44130, 723650, 621, 9540, 44130, 724706, 6118, 4923, 436220, 364672, 0
2, 9, 0, 6, 0, 1, 2, 3, 0, 0, 0, 0, 621, 9525, 44130, 722452, 621, 9534, 44130, 722998, 6094, 4924, 434123, 364747, 0
2, 9, 0, 1, 0, 1, 2, 3, 0, 0, 0, 0, 257397, 159591, 10997147789, 10557182, 5651, 6334, 415922, 455425, 154291, 260624, 10164118, 10997416906, 0
2, 9, 0, 3, 0, 1, 2, 3, 0, 0, 0, 0, 417872, 162807, 11002391356, 10826412, 639, 9603, 46174, 729280, 159638, 256673, 10560207, 10997097559, 0
2, 9, 0, 2, 0, 1, 2, 3, 0, 0, 0, 0, 256673, 159638, 10997097559, 10560207, 4924, 6710, 364769, 474472, 159591, 257397, 10557182, 10997147789, 0
2, 9, 0, 5, 0, 1, 2, 3, 0, 0, 0, 0, 4924, 6094, 364747, 434123, 4923, 6118, 364672, 436220, 6334, 5651, 455425, 415922, 0
2, 9, 0, 4, 0, 1, 2, 3, 0, 0, 0, 0, 621, 9929, 44130, 745303, 621, 9937, 44130, 745631, 6710, 4924, 474472, 364769, 0
2, 9, 0, 7, 0, 1, 2, 3, 0, 0, 0, 0, 621, 9528, 44130, 723650, 621, 9540, 44130, 724706, 6118, 4923, 436220, 364672, 0
2, 9, 0, 6, 0, 1, 2, 3, 0, 0, 0, 0, 621, 9525, 44130, 722452, 621, 9534, 44130, 722998, 6094, 4924, 434123, 364747, 0
2, 9, 0, 1, 0, 1, 2, 3, 0, 0, 0, 0, 257399, 159593, 10997147985, 10557378, 5651, 6334, 415922, 455425, 154293, 260626, 10164314, 10997417102, 0
2, 9, 0, 3, 0, 1, 2, 3, 0, 0, 0, 0, 417872, 162807, 11002391356, 10826412, 641, 9605, 46370, 729476, 159640, 256675, 10560403, 10997097755, 0
