No,TestSize,Precision,Recall,Accuracy,F1,Model
116,0.2,0.9002493765586035,0.6149914821124361,0.7349277528649726,0.7307692307692308,gnb
117,0.2,0.7758830694275274,0.5425894378194208,0.6407573492775287,0.63859649122807,bnb
118,0.2,0.8954937679769894,0.7955706984667802,0.8261086198305929,0.8425800631483986,mnb
119,0.2,0.8596620132255695,0.9965928449744463,0.9028400597907325,0.9230769230769231,lstm
120,0.2,0.5849526656701545,1.0,0.5849526656701545,0.7381326626846904,cnn
121,0.3,0.9925501432664756,0.9931192660550459,0.9916943521594684,0.9928346231011752,knn
122,0.3,0.676171875,0.992545871559633,0.720265780730897,0.8043680297397768,lr
123,0.3,0.8764568764568764,0.8623853211009175,0.8498338870431894,0.869364161849711,lsvc
124,0.3,0.8633663366336634,1.0,0.9083056478405316,0.9266737513283742,svc
125,0.3,0.998840579710145,0.9879587155963303,0.992358803986711,0.9933698472182185,dt
126,0.3,1.0,0.9994266055045872,0.9996677740863787,0.9997132205334098,rf
127,0.3,1.0,0.9988532110091743,0.9993355481727575,0.9994262765347103,gb
128,0.3,0.9066115702479339,0.6290137614678899,0.7475083056478405,0.7427217332430603,gnb
129,0.3,0.7599351175993512,0.5372706422018348,0.6335548172757475,0.6294927779643937,bnb
130,0.3,0.8908268733850129,0.7907110091743119,0.8225913621262458,0.8377885783718104,mnb
131,0.3,0.8519785051294577,1.0,0.8993355481727575,0.9200738591400686,lstm
132,0.3,0.5794019933554817,1.0,0.5794019933554817,0.7336979385780396,cnn
133,0.4,0.9944037882049075,0.9944037882049075,0.99352105656616,0.9944037882049075,knn
134,0.4,0.676159718144451,0.9913904433921653,0.7201594816845253,0.8039797521382439,lr
135,0.4,0.8609539207760711,0.9169177787343952,0.8661848990779966,0.8880550343964978,lsvc
136,0.4,0.8571955719557196,1.0,0.903563418888612,0.9231074905622889,svc
137,0.4,0.9991289198606271,0.9875161429186397,0.9922751059058061,0.9932885906040267,dt
138,0.4,1.0,1.0,1.0,1.0,rf
139,0.4,0.9995693367786391,0.9991390443392165,0.9992524296037877,0.9993541442411196,gb
140,0.4,0.906832298136646,0.6284976323719328,0.74757039621231,0.7424357996440376,gnb
141,0.4,0.7601947656725502,0.5376668101592768,0.6341888861201096,0.6298537569339384,bnb
142,0.4,0.8820732287208749,0.7985363753766681,0.8215798654373286,0.8382286488929055,mnb
143,0.4,0.8478181151448478,0.995264743865691,0.893845003737852,0.9156435643564357,lstm
144,0.4,0.5788686768003987,1.0,0.5788686768003987,0.733270202020202,cnn
145,0.2,0.9965811965811966,0.9931856899488927,0.9940209267563528,0.9948805460750852,knn
146,0.2,0.6852286049237983,0.995741056218058,0.7299451918285998,0.8118055555555556,lr
147,0.2,0.8932135728542914,0.762350936967632,0.807673143996014,0.8226102941176471,lsvc
148,0.2,0.8664206642066421,1.0,0.9098156452416543,0.9284302095689996,svc
149,0.2,0.9982788296041308,0.9880749574105622,0.9920279023418037,0.9931506849315068,dt
150,0.2,1.0,1.0,1.0,1.0,rf
151,0.2,1.0,0.9991482112436116,0.9995017438963627,0.9995739241585002,gb
152,0.2,0.9002493765586035,0.6149914821124361,0.7349277528649726,0.7307692307692308,gnb
