Source IP,Destination IP,Protocol,Switch,P1,P2,P3,P4,P1 Rx Packet,P1 Tx Packet,P1 Rx Bytes,P1 Tx Bytes,P2 Rx Packet,P2 Tx Packet,P2 Rx Bytes,P2 Tx Bytes,P3 Rx Packet,P3 Tx Packet,P3 Rx Bytes,P3 Tx Bytes,P4 Rx Packet,P4 Tx Packet,P4 Rx Bytes,P4 Tx Bytes,Label
2,9,0,2,0,1,2,3,0,0,0,0,2473774,1564080,109751368871,103339329,1916698,1205780,85386341661,79693013,2762486,4386074,182463227,195137381124,1
2,9,0,5,0,1,2,3,0,0,0,0,1994165,1240780,88957481799,82009563,2027245,1286452,89924327528,85055368,2520656,4017032,166541848,178881482068,1
2,9,0,4,0,1,2,3,0,0,0,0,956985,606101,42826457332,40150047,955794,613697,42559590428,40650263,1205780,1916698,79693013,85386341661,1
2,9,0,7,0,1,2,3,0,0,0,0,492522,329303,21800979702,21914588,1530809,971000,68123054286,64271526,1286452,2027245,85055368,89924327528,1
2,9,0,6,0,1,2,3,0,0,0,0,1008721,629960,45082120756,41728198,981528,624670,43875067362,41383622,1240780,1994165,82009563,88957481799,1
4,9,0,1,0,1,2,3,0,0,0,0,4386079,2762491,195137381614,182463717,4017039,2520663,178881482698,166542478,5271005,8400696,348098434,374018719034,1
4,9,0,3,0,1,2,3,0,0,0,0,1661485,948290,66463362360,62731080,973886,629388,43293328686,41695812,1564082,2473776,103339525,109751369067,1
4,9,0,2,0,1,2,3,0,0,0,0,2473776,1564082,109751369067,103339525,1916701,1205783,85386341955,79693307,2762491,4386079,182463717,195137381614,1
4,9,0,5,0,1,2,3,0,0,0,0,1994169,1240785,88957482191,82009997,2027248,1286455,89924327766,85055606,2520663,4017039,166542478,178881482698,1
4,9,0,4,0,1,2,3,0,0,0,0,956986,606102,42826457430,40150145,955796,613699,42559590624,40650459,1205783,1916701,79693307,85386341955,1
4,9,0,7,0,1,2,3,0,0,0,0,492523,329304,21800979800,21914686,1530811,971002,68123054426,64271666,1286455,2027248,85055606,89924327766,1
4,9,0,6,0,1,2,3,0,0,0,0,1008723,629963,45082120952,41728436,981530,624673,43875067558,41383860,1240785,1994169,82009997,88957482191,1
