Source IP,Destination IP,Protocol,Switch,P1,P2,P3,P4,P1 Rx Packet,P1 Tx Packet,P1 Rx Bytes,P1 Tx Bytes,P2 Rx Packet,P2 Tx Packet,P2 Rx Bytes,P2 Tx Bytes,P3 Rx Packet,P3 Tx Packet,P3 Rx Bytes,P3 Tx Bytes,P4 Rx Packet,P4 Tx Packet,P4 Rx Bytes,P4 Tx Bytes,Label
8,9,1,1,0,1,2,3,0,0,0,0,257813,160011,10997186873,10596462,6132,6816,460747,500305,155148,261520,10245024,10997500884,0
8,9,1,3,0,1,2,3,0,0,0,0,417979,162975,11002401450,10840726,720,9747,53888,741298,159869,256881,10580741,10997116875,0
8,9,1,2,0,1,2,3,0,0,0,0,256881,159869,10997116875,10580741,5151,6960,385962,496812,160011,257813,10596462,10997186873,0
8,9,1,5,0,1,2,3,0,0,0,0,5174,6372,387886,458802,5173,6398,387783,461067,6816,6132,500305,460747,0
8,9,1,4,0,1,2,3,0,0,0,0,726,10094,54140,759379,724,10100,53888,759455,6960,5151,496812,385962,0
8,9,1,7,0,1,2,3,0,0,0,0,729,9704,54322,738580,744,9732,55624,740980,6398,5173,461067,387783,0
8,9,1,6,0,1,2,3,0,0,0,0,735,9708,54854,737956,738,9719,55120,738614,6372,5174,458802,387886,0
1,9,1,1,0,1,2,3,0,0,0,0,257816,160014,10997187167,10596756,6136,6820,461139,500697,155155,261527,10245710,10997501570,0
1,9,1,3,0,1,2,3,0,0,0,0,417981,162977,11002401646,10840922,720,9748,53888,741396,159871,256883,10580937,10997117071,0
1,9,1,2,0,1,2,3,0,0,0,0,256883,159871,10997117071,10580937,5152,6962,386060,497008,160014,257816,10596756,10997187167,0
1,9,1,5,0,1,2,3,0,0,0,0,5176,6374,388082,458998,5175,6400,387979,461263,6820,6136,500697,461139,0
1,9,1,4,0,1,2,3,0,0,0,0,726,10095,54140,759477,725,10102,53986,759651,6962,5152,497008,386060,0
1,9,1,7,0,1,2,3,0,0,0,0,730,9705,54420,738678,745,9733,55722,741078,6400,5175,461263,387979,0
1,9,1,6,0,1,2,3,0,0,0,0,736,9709,54952,738054,739,9720,55218,738712,6374,5176,458998,388082,0
4,9,1,1,0,1,2,3,0,0,0,0,257820,160018,10997187536,10597125,6142,6826,461704,501262,155163,261537,10246494,10997502512,0
4,9,1,3,0,1,2,3,0,0,0,0,417982,162980,11002401744,10841178,720,9750,53888,741554,159873,256885,10581110,10997117244,0
4,9,1,2,0,1,2,3,0,0,0,0,256885,159873,10997117244,10581110,5155,6965,386331,497279,160018,257820,10597125,10997187536,0
4,9,1,5,0,1,2,3,0,0,0,0,5180,6378,388451,459367,5178,6403,388250,461534,6826,6142,501262,461704,0
4,9,1,4,0,1,2,3,0,0,0,0,726,10097,54140,759635,727,10106,54182,760005,6965,5155,497279,386331,0
4,9,1,7,0,1,2,3,0,0,0,0,731,9708,54518,738934,746,9736,55820,741334,6403,5178,461534,388250,0
4,9,1,6,0,1,2,3,0,0,0,0,737,9712,55050,738310,741,9724,55414,739066,6378,5180,459367,388451,0
5,9,1,1,0,1,2,3,0,0,0,0,257825,160023,10997187914,10597503,6148,6832,462292,501850,155174,261548,10247460,10997503478,0
5,9,1,3,0,1,2,3,0,0,0,0,417983,162983,11002401842,10841360,721,9753,53986,741736,159877,256887,10581390,10997117440,0
5,9,1,2,0,1,2,3,0,0,0,0,256887,159877,10997117440,10581390,5158,6969,386513,497559,160023,257825,10597503,10997187914,0
5,9,1,5,0,1,2,3,0,0,0,0,5183,6381,388745,459661,5181,6406,388544,461828,6832,6148,501850,462292,0
5,9,1,4,0,1,2,3,0,0,0,0,726,10098,54140,759733,730,10110,54364,760285,6969,5158,497559,386513,0
5,9,1,7,0,1,2,3,0,0,0,0,733,9710,54714,739130,747,9737,55918,741432,6406,5181,461828,388544,0
5,9,1,6,0,1,2,3,0,0,0,0,739,9714,55246,738506,742,9725,55512,739164,6381,5183,459661,388745,0
8,9,1,1,0,1,2,3,0,0,0,0,257829,160027,10997188306,10597895,6153,6837,462782,502340,155183,261557,10248342,10997504360,0
